bytes,downloaded,file,key,pdf_url,relevance,resolved_url,sha256,status,status_detail,title,url,year
16070587,True,model_redo_v2/references/papers/2026_tabiclv2_2026.pdf,tabiclv2_2026,https://arxiv.org/pdf/2602.11139,"Open high-performance tabular foundation model; regression, missing values and quantile fine-tuning challenger.",,ab4706efcfc11fe43c28d38a96956f1087e603428d4d7771c50efbc81a6a2ef9,ICML 2026 / arXiv,existing_valid_pdf,"TabICLv2: A better, faster, scalable, and open tabular foundation model",https://arxiv.org/abs/2602.11139,2026
4066189,True,model_redo_v2/references/papers/2025_tabicl_2025.pdf,tabicl_2025,https://arxiv.org/pdf/2502.05564,Foundation-model baseline for medium-sized tabular regression.,,22b3b112d8e2875edc4e1054073f354dc139594f1d2bfe38754592d49d96bc3e,ICML 2025,existing_valid_pdf,TabICL: A Tabular Foundation Model for In-Context Learning on Large Data,https://arxiv.org/abs/2502.05564,2025
6752042,True,model_redo_v2/references/papers/2026_beyond_iid_2026.pdf,beyond_iid_2026,https://arxiv.org/pdf/2606.30410,Direct evidence for temporal/grouped validation and limits of IID leaderboard conclusions.,,7d7f407b087c6c0c8ef716b9745a0a2309ec6cff36d040b97e2e3979b1b31676,arXiv preprint,existing_valid_pdf,"Beyond IID: How General Are Tabular Foundation Models, Really?",https://arxiv.org/abs/2606.30410,2026
1964941,True,model_redo_v2/references/papers/2025_tabarena_2025.pdf,tabarena_2025,https://arxiv.org/pdf/2506.16791,"Broad modern comparison of tuned trees, neural models and tabular foundation models.",,8853fd1a1eb09ee7c25bf6f48a194a8e718103774d39af5bcc402b2c41a735e5,NeurIPS 2025 Datasets & Benchmarks,existing_valid_pdf,TabArena: A Living Benchmark for Machine Learning on Tabular Data,https://arxiv.org/abs/2506.16791,2025
1322161,True,model_redo_v2/references/papers/2025_tabm_2025.pdf,tabm_2025,https://arxiv.org/pdf/2410.24210,Efficient trainable deep ensemble candidate for multi-task and custom censor-aware losses.,,a6988aa10d726e99c706dc92856c5a07f4e3f9fa854d08c8f854f06dc83ea34f,ICLR 2025,existing_valid_pdf,TabM: Advancing Tabular Deep Learning with Parameter-Efficient Ensembling,https://arxiv.org/abs/2410.24210,2025
1050487,True,model_redo_v2/references/papers/2024_tabr_2024.pdf,tabr_2024,https://arxiv.org/pdf/2307.14338,Retrieval model candidate; also highlights leakage risk when nearby site/time records cross folds.,,f6855570a0d96fcc445d355ab10f320f192d5100344d24b08c7308e5377a32fb,ICLR 2024,existing_valid_pdf,TabR: Tabular Deep Learning Meets Nearest Neighbors,https://arxiv.org/abs/2307.14338,2024
4338379,True,model_redo_v2/references/papers/2024_realmlp_2024.pdf,realmlp_2024,https://arxiv.org/pdf/2407.04491,"Strong reproducible MLP and tree defaults, useful as a no-HPO benchmark.",,a4fb4e2cd821175b5afe7fa1af0593068af152711e5397218f1d032ec8b084c0,NeurIPS 2024,existing_valid_pdf,Better by default: Strong pre-tuned MLPs and boosted trees on tabular data,https://arxiv.org/abs/2407.04491,2024
3689265,True,model_redo_v2/references/papers/2024_talent_2024.pdf,talent_2024,https://arxiv.org/pdf/2407.00956,Large empirical audit of tabular deep-learning methods and preprocessing choices.,,e24952bd97fd63aa29d28218ec9a7126c830b3b954ca307fe4ca081dfb19fb43,arXiv / TALENT benchmark,existing_valid_pdf,A Closer Look at Deep Learning Methods on Tabular Datasets,https://arxiv.org/abs/2407.00956,2024
16957699,True,model_redo_v2/references/papers/2025_tabpfn_nature_2025.pdf,tabpfn_nature_2025,https://www.nature.com/articles/s41586-024-08328-6.pdf,High-level evidence for prior-data fitted networks; practical use requires license and access review.,,6b5ce3dba2ef7454ad0868ad733a64b4ac89bcd98307773fad1e0e977caaa013,Nature,existing_valid_pdf,Accurate predictions on small data with a tabular foundation model,https://doi.org/10.1038/s41586-024-08328-6,2025
6826374,True,model_redo_v2/references/papers/2026_tabpfn3_2026.pdf,tabpfn3_2026,https://arxiv.org/pdf/2605.13986,Current large-scale TabPFN generation; research comparison only until weight licensing and authenticated access are accepted.,https://arxiv.org/pdf/2605.13986,68825024d264813f2f094769cbfac5ad9e887883472a50f0c73e1558c6ac4bc7,arXiv technical report,downloaded,TabPFN-3: Technical Report,https://arxiv.org/abs/2605.13986,2026
26436552,True,model_redo_v2/references/papers/2022_tree_vs_dl_2022.pdf,tree_vs_dl_2022,https://arxiv.org/pdf/2207.08815,Supports retaining tuned tree baselines for irregular heterogeneous environmental tables.,,3baeb241e4f50981deb6e8e81f29192b1a84f1abde990d5fe8df4e594d993d6f,NeurIPS 2022,existing_valid_pdf,Why do tree-based models still outperform deep learning on typical tabular data?,https://arxiv.org/abs/2207.08815,2022
